Name,Team,PA,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",556,1.0499433266310505,,-0.052291665226221085,-0.47079648109192546,-0.9465160220861435,0.007361754751543894,-0.5354248560391939,0.9098241241966806,5.742737753637906,-6.359095871448517,-0.07174902341582558,,,"Mike Trout",10155,545361
"Marcell Ozuna","ATL",592,0.22463213134828589,,1.2098235197556324,-2.1414766606596327,-3.9039283990859985,0.7270578777088839,0.6665253424429678,1.4221098616316512,1.0667185698236739,,-1.2061823760309527,,,"Marcell Ozuna",10324,542303
"Christian Yelich","MIL",644,1.2432416651045846,,0.20741256632546123,1.4806364476680756,,0.04616300670468078,-0.141573830989072,-0.26066322480478593,0.43866063578654146,15.545924504597982,2.785185325977414,,,"Christian Yelich",11477,592885
"Manny Machado","SDP",678,-0.07146826833120434,,-2.2381649254271703,-4.040276359867405,,1.1539865912659082,0.5108510746675379,2.7400804247174944,3.061039073794496,22.93163239955902,0.09146979626487284,,,"Manny Machado",11493,592518
"Willson Contreras","STL",563,1.6096467648760386,,0.5232937023287915,-0.08447486644899341,,-0.8200516303380331,0.07658560848768863,0.32067744986816027,4.702748145375933,,-0.7466243373023139,,,"Willson Contreras",11609,575929
"Xander Bogaerts","SDP",552,-1.8185968200365703,,0.9551300722009995,2.088648491892321,,-1.80073776569083,0.47876790535351466,2.840858148344865,1.4261319087101865,,2.4351321125482492,,,"Xander Bogaerts",12161,593428
"Marcus Semien","TEX",534,-0.9066809920872057,,-1.302247616782117,-3.818950482777187,,0.3387160751284385,-0.3451581864917439,0.6529252505996852,5.642248644973293,,-0.5775104177759048,,,"Marcus Semien",12533,543760
"Eugenio Suárez","- - -",657,0.43600660664528096,,2.4152891097530245,2.425945516842515,-4.272777338822683,-0.6590061115496086,1.1069943773729676,-2.904897704720497,6.896911064783732,14.171543717384338,0.9116176783182975,,,"Eugenio Suarez",12552,553993
"George Springer","TOR",586,2.3773228011048424,,0.8202622153542258,-0.5367792211472988,,2.6672108647805315,2.3754284237370347,1.5392483688714935,-5.089129069272209,-8.916488885879517,1.1570755055915551,,,"George Springer",12856,543807
"Francisco Lindor","NYM",732,1.180498927775525,,0.17060529101978647,1.3665034570766768,,1.3558063923012802,0.6972514841545142,-1.2917477582258003,4.049592926388695,,0.045667646318366846,,,"Francisco Lindor",12916,596019
"Brandon Nimmo","NYM",652,-0.525228539083758,,-0.002511033826336569,-0.34594095723573554,,0.7669984812363781,-0.13308004545845134,0.17839349148904576,-0.5686561454017207,-11.08335018157959,6.052290951764142,,,"Brandon Nimmo",12927,607043
"Teoscar Hernández","LAD",546,0.8913622134261661,,-2.349550549576922,-0.5712840954462687,-1.141403429210186,-1.43367731118504,-0.6971397046093998,3.5943984985351562,-1.6528513071671973,,0.8898649808656366,,,"Teoscar Hernandez",13066,606192
"Josh Bell","WSN",533,0.3480724117346407,,-0.22092323554189583,-1.0884970426559448,-9.227477652685982,-0.8551744853748995,1.4084564118427763,-0.016518914536840613,6.4989447593688965,3.837495048840841,-0.8650698904263772,,,"Josh Bell",13145,605137
"Jorge Polanco","SEA",524,-0.14757777020435206,,1.8388587633768716,-2.363793900672426,,2.2874360614352756,1.2405435466233579,1.7504810106636275,-1.7020291631872002,-4.239397247632345,0.9723129072738568,,,"Jorge Polanco",13152,593871
"Christian Walker","HOU",640,-0.5802953895506675,,-2.2338264064701723,2.330413886478969,,0.03136784497291509,0.6951875108129838,0.6802223890255659,0.09995329786430705,7.140806317329407,-0.8884444137929017,,,"Christian Walker",13419,572233
"Mookie Betts","LAD",663,0.8727397151927851,,-3.408521848686775,5.864437103271484,,0.025754420212654523,-0.09604843869831993,-2.4825404672061695,-1.3815226879986848,,0.26760764267979836,,,"Mookie Betts",13611,605141
"Byron Buxton","MIN",542,1.1249487582235242,,1.773606532465213,3.9234313699934216,,1.2253756080168843,1.1061825250324449,2.157119176920178,0.5836312014323015,,1.2045801473609152,,,"Byron Buxton",14161,621439
"Carlos Correa","- - -",584,0.5030803246931597,,-1.8736757987584822,1.4320242638681449,,-0.8467946680315048,-0.2621199499885991,-1.1344222257197913,-0.6583060324192047,,1.825550032986535,,,"Carlos Correa",14162,621043
"Matt Olson","ATL",724,0.6101245475482113,,1.2296295367212737,2.168534682677673,8.045985102653503,1.0346867821433328,0.13513384120804922,0.8805400817120661,5.272673185055073,,1.2799342756169547,,,"Matt Olson",14344,621566
"Mike Yastrzemski","- - -",558,-0.5435176112905241,,-0.8191534862426167,2.3042842083507113,-3.4551637868086496,0.07006032636549589,0.9177778826819525,-1.0166563015235097,1.0556823440960474,,3.070280608676729,,,"Mike Yastrzemski",14854,573262
"Ryan McMahon","- - -",586,0.7952841939152898,,-0.008709295229478317,-2.9575525359673933,-1.8854377361444328,-1.622428854957956,-0.7272595145345271,-1.6579972112120078,3.2741479078928633,-10.853798687458038,-0.20452813478186727,,,"Ryan McMahon",15112,641857
"J.P. Crawford","SEA",654,0.5216393838910496,,0.9898167222602182,-4.75916862487793,,-1.355972403571719,-1.3654207502092635,2.062306704221072,0.47952486918522763,77.08179354667664,1.5890085799062352,,,"J.P. Crawford",15491,641487
"Aaron Judge","NYY",679,3.019236538028577,,6.504554748535156,-2.5887579829604537,,5.632388326856825,1.4742531681692363,-0.1619430924906875,-1.110902564092116,-30.201393365859985,3.086729245643093,,,"Aaron Judge",15640,592450
"Willy Adames","SFG",686,1.232619916769501,,-2.166143137747081,1.9282690940364715,-4.376190900802612,0.00721879727948157,-0.149956278536452,-1.438179200525442,1.081094336002431,0.9300691740853446,-0.9809484565835693,,,"Willy Adames",15986,642715
"Cody Bellinger","NYY",656,-0.10312482732803029,,1.8703375471399184,-3.683088897565089,,1.536452163000848,0.37972379189271194,3.7660217817935195,-2.5341726638175346,-10.853799432516098,1.296755352859977,,,"Cody Bellinger",15998,641355
